feature_0,feature_1,feature_2,target
46,3,19,0
49,40,7,0
18,5,44,0
24,33,16,0
14,48,16,0
34,26,41,7
8,30,44,0
34,40,11,0
47,31,17,1
37,17,48,0
47,29,45,2
22,16,35,0
41,2,47,3
0,49,43,5
19,47,20,0
14,9,9,0
37,9,17,0
2,10,39,4
0,43,22,0
3,7,27,3
15,21,48,0
26,24,15,1
10,20,9,4
46,21,12,0
47,41,11,0
36,29,33,0
24,19,48,0
26,13,20,0
27,21,32,2
1,18,26,2
30,38,32,2
19,48,2,3
4,29,34,2
32,44,27,0
34,21,44,5
0,32,39,6
35,13,12,2
14,10,35,0
1,43,48,0
13,21,14,0
41,2,40,2
17,31,2,1
41,22,32,2
12,10,11,0
42,26,20,0
22,22,18,0
0,19,4,1
7,40,47,5
48,17,23,1
24,10,27,0
47,41,17,0
11,6,27,0
5,11,31,0
25,42,20,0
8,27,23,0
12,15,13,0
16,8,6,0
35,18,5,0
47,16,16,2
7,42,21,0
9,46,9,0
14,35,36,0
42,15,24,1
17,39,16,0
47,13,48,1
41,29,38,4
29,22,30,3
48,7,29,0
46,36,18,0
43,42,34,5
24,35,34,4
48,8,35,0
22,16,47,1
18,44,25,0
48,22,27,1
10,11,13,0
42,37,42,3
24,10,23,0
3,41,23,4
30,0,14,1
23,5,10,6
29,19,48,0
11,38,12,0
46,18,23,0
27,39,26,1
19,38,29,0
15,30,49,0
38,48,17,0
41,10,17,0
8,7,44,0
20,19,35,0
6,49,31,2
48,6,40,0
13,7,19,0
15,2,42,2
28,43,12,0
40,31,11,0
11,47,11,0
23,13,38,3
24,4,9,0
18,34,43,0
35,27,13,0
31,29,28,0
47,10,18,0
36,33,6,1
39,49,46,3
46,4,25,1
32,11,28,0
4,10,18,0
22,47,23,0
16,47,17,0
26,38,16,0
25,12,16,0
14,3,1,0
24,15,17,0
40,42,27,5
32,49,16,0
20,7,30,0
0,36,6,5
40,30,13,0
39,34,15,1
8,21,14,0
2,23,35,1
27,35,28,0
25,2,26,2
38,25,26,0
25,6,45,0
27,7,35,1
3,34,49,0
49,35,8,0
28,30,40,0
17,4,26,1
49,17,34,1
18,7,3,0
49,33,36,0
11,14,44,0
43,17,7,5
29,1,37,0
41,10,19,0
44,36,11,0
19,42,14,0
25,22,20,0
13,18,20,0
43,3,38,0
49,21,47,1
30,25,23,3
14,7,48,0
16,6,49,0
17,16,38,0
41,18,24,2
40,18,30,5
2,3,4,0
39,12,16,1
45,12,6,0
16,10,18,0
44,46,2,4
5,5,1,0
26,5,9,0
27,5,48,0
15,20,22,0
26,35,27,3
47,6,0,4
39,6,4,0
14,2,43,0
16,42,41,3
27,11,41,7
14,45,39,3
40,1,41,5
22,27,9,0
4,44,24,0
28,0,9,0
17,18,41,1
